S3_URL,50_word_description
https://futraichat.s3.ap-south-1.amazonaws.com/app_content/sakura/images/1750492608_1749295084_1(20).jpeg,"Pink wavy hair, sparkling gold tiara, clear gems, delicate white bra, intricate gold embroidery, glistening rhinestones, black ornate bottom, elaborate gold chains, large iridescent stones, belly button piercing, full face makeup, sharp winged eyeliner, rosy lips, direct captivating gaze, calm expression, confident posture, sensual, alluring, luxurious, elegant, indoor setting, blurred background, vertical pink neon lights, vibrant, glamorous, opulent, fantasy, digitally rendered"
https://futraichat.s3.ap-south-1.amazonaws.com/app_content/sakura/images/1750492608_1749295082_34.jpg,"female, long wavy pink hair, fair skin, striking makeup, red lipstick, light cream satin shirt, unbuttoned, deep cleavage, revealing upper thighs, lace-up sleeves, long pointed gray nails, direct eye contact, confident expression, leaning forward, hands resting on beige sofa, luxurious indoor setting, ornate gold mirror, elegant furniture, blurred background, alluring, seductive pose, captivating, glamorous style"
https://futraichat.s3.ap-south-1.amazonaws.com/app_content/sakura/images/1750492608_1749295087_35.jpg,"Pink hair, long wavy hair, red glossy bra, shiny material, ample cleavage visible, light skin tone, brown eyes, dark eyeliner, long eyelashes, bright red lipstick, full lips, slightly open mouth, direct gaze, serious expression, confident posture, standing indoors, neutral grey background, elevator-like setting, waist-up shot, no visible accessories, minimal clothing, sensual attire, provocative pose, attention-grabbing, alluring"
https://futraichat.s3.ap-south-1.amazonaws.com/app_content/sakura/images/1750492608_1749295088_1(22).jpeg,"Pink wavy hair, striking blue-green eyes, heavy eye makeup, long dark eyelashes, vibrant red lipstick, large gold hoop earrings, delicate gold necklace, heart-shaped charm, prominent cleavage, very low-cut purple corset, intricate lacing detail, decorative silver studs, ruffled trim, exposed bare skin, sensual pose, direct captivating gaze, confident alluring expression, seductive, alluring, intimate setting, dimly lit, warm red lighting, indoor, boudoir, glamorous, confident."
https://futraichat.s3.ap-south-1.amazonaws.com/app_content/sakura/images/1750492608_1749295082_39.jpg,"Pink hair, long wavy, flowing, expressive eyes, full makeup, pink lips, direct gaze, confident expression, strapless bustier, sequined silver, shimmering champagne, embellished, sparkling, revealing cleavage, form-fitting bodysuit, high-cut, long dazzling earrings, elegant pose, indoor location, blurred background, grand staircase, luxurious setting, standing, alluring, glamorous, ornate railing, soft lighting"
https://futraichat.s3.ap-south-1.amazonaws.com/app_content/sakura/videos/1750492608_1749295088_Sakura007.mp4,"pink wavy hair, confident gaze, lush red lips, dramatic eye makeup, light brown eyes, wearing a pink velvet bodysuit, thin shoulder straps, low cut neckline, suggestive attire, indoors, warm lighting, lamp, candle, reflection, leaning forward, direct pose, sensual body language, inviting expression, soft textured fabric, elegant, alluring, attractive, partially visible white bottom, hint of cleavage, glossy lips"
https://futraichat.s3.ap-south-1.amazonaws.com/app_content/sakura/videos/1750492609_1749295089_Sakura012.mp4,"Female, confident, alluring, direct gaze, pink hair, long, flowing, dramatic makeup, full lips, black choker, leather-like, buckles, straps, shiny, mesh, bodysuit, revealing, deep cleavage, form-fitting, fishnet stockings, sensual, posing, standing, outdoors, airport tarmac, yellow markings, industrial background, sunset sky, orange, blue, dark, evening light, striking, vibrant, attractive, elegant, powerful, bold, captivating, provocative, fantasy setting, high contrast, artificial light, sleek design, commanding presence."
https://futraichat.s3.ap-south-1.amazonaws.com/app_content/sakura/images/1750492609_1749295088_50.jpeg,"Pink hair, long wavy, full makeup, alluring expression, direct gaze, pink eyeshadow, glossy lips, sheer beaded dress, crystal embellishments, transparent fabric, light pink opaque bra, sparkling silver details, body-hugging fit, confident posture, standing, indoors, blurred background, vertical red neon lights, club atmosphere."
https://futraichat.s3.ap-south-1.amazonaws.com/app_content/sakura/images/1750492609_1749295089_47.jpg,"Long voluminous pink hair, vibrant green eyes, bold red lips, heavy eye makeup, fair skin, intricate silver multi-layered necklaces with colorful gems, long dangling silver earrings with crystals, purple and blue embellished bra, matching purple underwear, belly button piercing, direct gaze, confident expression, posed, seated, dark metallic background, reflective surfaces, vibrant lighting, glamorous, sensual, captivating, alluring, front-facing, upper body shot."
https://futraichat.s3.ap-south-1.amazonaws.com/app_content/sakura/images/1750492609_1749295086_17.jpeg,"Young female, long flowing pink wavy hair, fair skin, captivating light brown eyes, bold red lips, direct gaze, soft expression, confident, alluring, posing, hands on maroon bra straps, maroon satin camisole, intricate lace, floral patterns, sheer fabric, deep cleavage, indoor setting, warm ambient lighting, subtle pink vertical light, sensual attire, suggestive body language, inviting."
https://futraichat.s3.ap-south-1.amazonaws.com/app_content/sakura/videos/1750492609_1749295085_Sakura017.mp4,"Pink wavy hair, red lipstick, intense pink eyeshadow, black sheer lace bra, floral patterns, prominent cleavage, intimate indoor setting, dimly lit room, soft warm lighting, seductive pose, eyes partially closed, looking upwards, lips slightly parted, sensual expression, upper body focus, shoulders visible, elegant background, blurry ornate chandelier, direct gaze."
https://futraichat.s3.ap-south-1.amazonaws.com/app_content/sakura/images/1750492609_1749295082_1(27).jpeg,"Pink-haired woman, wearing a white one-piece swimsuit, deep neckline, prominent cleavage, form-fitting attire, standing outdoors under an active shower, water droplets cascading, blurred urban cityscape, tall buildings in background, direct eye contact, confident expression, slightly parted lips, soft gaze, poised body language, one hand resting subtly on her thigh, elegant, serene, bright lighting"
https://futraichat.s3.ap-south-1.amazonaws.com/app_content/sakura/images/1750492609_1749295082_1(13).jpeg,"Vibrant pink wavy hair, bright brown eyes, full glossy pink lips, direct confident gaze, alluring facial expression, smooth fair skin, slender neck adorned with a black choker, small gold heart pendant, form-fitting low-cut black leather-like top, ample cleavage, prominent bust, striking shoulders-up portrait, indoor industrial-like blurred background, soft natural lighting, seductive pose, captivating presence"
https://futraichat.s3.ap-south-1.amazonaws.com/app_content/sakura/images/1750492609_1749295084_1(12).jpeg,"female character, long pink wavy hair, fair skin, full pink lips, direct alluring gaze, neutral expression, standing, elegant pose, confident, luxurious ornate hallway, gold accents, sparkling chandeliers, patterned floor, pearl-covered sheer bodysuit, revealing, form-fitting, white pearls, low-cut neckline, prominent cleavage, slender figure, exposed legs, right hand resting, thigh, seductive, sensuous attire, elaborate, extravagant indoor setting, vertical shot, glamorous, soft lighting, rich details, fashionable"
https://futraichat.s3.ap-south-1.amazonaws.com/app_content/sakura/images/1750492609_1749295085_31.jpg,"Pink long wavy hair, striking green eyes, red lipstick, alluring direct gaze, confident expression. Wearing a sheer, light-colored, rhinestone-encrusted halter bodysuit. Diamond-like choker, visible fishnet bra cups, revealing cleavage. Ornate, sparkling jeweled costume. Posing indoors against a red patterned wall with warm lighting, possibly a lounge or club. Seductive body language."
https://futraichat.s3.ap-south-1.amazonaws.com/app_content/sakura/images/1750492610_1749295089_1(23).jpeg,"sitting, red, patent leather, strapless, mini dress, low-cut, ample cleavage, long pink wavy hair, direct gaze, alluring, full lips, pale skin, white manicured nails, ring, hands clasped, lap, legs together, indoor setting, blurred city lights, high-rise, urban view, sophisticated, sensual, confident, composed, feminine, plump lips, detailed makeup, dark eyebrows, vibrant hair, soft lighting, elegant, plush chair, night scene, captivating."
https://futraichat.s3.ap-south-1.amazonaws.com/app_content/sakura/videos/1750492610_1749295079_Sakura013.mp4,"Female character, long wavy pink hair, closed eyes, serene expression, slightly parted red lips, fair skin, light blue satin camisole, thin shoulder straps, prominent cleavage, intimate indoor setting, soft warm lighting, blurred background, lit candle, relaxing pose, upper body visible, sensual attire, delicate makeup, calm, peaceful, soft focus, alluring."
