50_word_description,S3_URL
"white lingerie, lace bra, lace panties, sheer robe, indoor location, large windows, greenery outside, standing position, relaxed pose, hands on window frame, hair down, looking outside, casual environment, bright lighting, modern setting, peaceful atmosphere, home interior, elegant, sunny day, observing surroundings",https://futraichat.s3.ap-south-1.amazonaws.com/d3f9ff946f46486b9c3dea177c968bba.jpg
"lingerie, purple, floral, design, bra, panties, seated, sofa, indoor, sunlight, long hair, wavy hair, pose, relaxed, sunlight, soft shadows, dim room, composition, delicate, elegant, sexy, intimate, private, silhouette, couch, body language, relaxed, confident, subtle, gentle light, atmosphere, mood, natural light, curves, color contrast, feminine, alluring, captivating, leisure, repose, stillness, sensuality, aesthetics, harmony, indoor setting, ambience, sunlight rays",https://futraichat.s3.ap-south-1.amazonaws.com/7b6daca038dd45e597f6e7a427e0c807.jpeg
"woman, lingerie, black, lace, bra, panties, sitting, elegant, sexy, sensual, wine, glass, holding, candlelit, room, opulent, luxury, dark, hair, wavy, couch, atmosphere, seductive, intimate, setting, posing, relaxed, confident, legs, crossed, dim, lighting, evening, classy, glamourous, interior, svelte, polished, poised, ambient, chic, stylish, refined, graceful, mysterious, inviting, luxurious",https://futraichat.s3.ap-south-1.amazonaws.com/3728d1def0e74e17ab645c528e2afd04.jpg
"lingerie, lace, pink, intimate wear, bedroom, bed, pillows, sitting, posing, long black hair, indoors, relaxed, sensual, confident, seductive pose, tanned skin, model, elegance, femininity, delicate, alluring, fashion, natural light, soft, ambiance, comfortable, peaceful, composed, luxurious, tranquility, lace pattern, bralette, panties, fitted, stylish, contemporary, beauty, focus, aesthetics, intimate setting, classic, appealing, poised, serene, indulgent, afternoon, chapter, fabric",https://futraichat.s3.ap-south-1.amazonaws.com/256fd9b61a0d4fc1a88754345a46d0a9.jpg
"black bikini, floral pattern, hot tub, jacuzzi, night, nighttime, city lights, skyline view, rooftop, relaxing, leisure, calm, serene, night view, hair down, wet skin, arm resting, water bubbles, steam, luxurious, outdoor jacuzzi, sky, railing, dark background, sexy, sultry, spa, serene environment, peaceful setting, secluded, balcony, open air, cooling down, unwind, soothing, arm extended, leg bent, urban setting, cityscape, cool air, relaxation, effervescent, tranquility, solitude, midnight, silhouette",https://futraichat.s3.ap-south-1.amazonaws.com/a47cbf54c2a94388bc228127e64777c5.jpg
"sparkling, silver, bodysuit, sensual, intimate, bedroom, holding, hair, posing, standing, seductive, candles, dim lighting, glittering, curves, elegant, daring, tight, form-fitting, allure, confidence, glamorous, shiny, provocative, skimpy, lace, detailed, intricate, revealing, delicate, sophisticated, playful, bold, mysterious, alluring, fashion, temptation, classy, captivating, shimmering, daring, enticing, luxury, nightwear, bold fashion, exquisite, intricate design",https://futraichat.s3.ap-south-1.amazonaws.com/mallika_PV_2.MP4
"green lingerie, bra, panties, bedroom, sitting on bed, indoor, relaxed, sensual pose, soft lighting, bedding, hair down, long hair, lamp, elegant, decor, art on wall, mattress, comfortable, calm, legs crossed, arms resting, playful, smooth skin, alluring, inviting, intimacy, personal space, poised, feminine, graceful, confidence, warmth, muted colors, cozy, private setting, serene, tranquil, peaceful atmosphere, inviting glow, modest yet bold, classic design, soft furnishings, home decor, portrait, composition, alluring gaze",https://futraichat.s3.ap-south-1.amazonaws.com/8f44ae2a580143b9820e7802a2e9ddae.jpg
"lingerie, black, lace, fishnet stockings, handcuffs, seductive, sitting, mysterious, bedroom, alluring, dark setting, jewelry, necklace, shiny, chains, sensual, intimate, provocative, elegant, captivating, poised, dimly lit, luxurious, tempting, intricate designs, appealing, crossing legs, confident, poised, stylish, eye-catching, sophisticated, appealing, adult, glamour, suggestive, mystery, fashionable, chic, dramatic, mesmerizing, centerpiece, decorative, ornate, atmospheric, playful, flirty, alluring",https://futraichat.s3.ap-south-1.amazonaws.com/mallika_premium20.jpg
"black lingerie, nightclub, dark alley, nightlife, standing, leaning, wall, seductive, urban setting, shiny brick wall, street, night, ambient lights, neon signs, long hair, thigh-high boots, revealing outfit, fashion, style, colored illumination, posing, confidence, sensual appearance, body curve, city nightscape, leather material, exterior location, colorful backdrop, solitary, downtown, alluring, bold attire, photography, mystery, composition, silent street, display, absence of crowd, skin exposure, reflective surface, visual contrast, city vibe, minimalistic outfit, silhouette, street attire, bustling nightlife",https://futraichat.s3.ap-south-1.amazonaws.com/a69c5fb3976b472581de55df3215c1df.jpg
"White bikini, Transparent fabric, Shower setting, Wet skin, Pose, Confidence, Relaxation, Bathroom, Glass door, Water droplets, Skin exposure, Standing, Delicate pose, Hand gesture, Jewelry, Hair wet, Shower activity, Indoor, Modern shower, Clear tiles, Showerhead, Stream, Waistline, Curves, Body contour, Smooth surface, Minimal accessories, Tape closure, Clip fastening, Leisure, Elegance, Intimate, Self-assured, Stability, Natural light, Focused, Dynamic posture, Chic, Fashion, Style, Subtlety, Visual aesthetics, Private moment, Tranquil ambiance",https://futraichat.s3.ap-south-1.amazonaws.com/Copyof26a6ea0fc80c459e9e222bfc186abdcd.jpg
